Hot Peppers,,,
Maltodextrin,16,"Firming Agents, Flavors & Flavor Enhancer",
Mandarin Orange,24,Fruit,East Asia
Mango,62,Fruit,Southeast Asia
Mango (Green),2,Fruit,Southeast Asia
Mango Juice,1,Fruit,Southeast Asia
Mango Pulp,3,Fruit,Southeast Asia
Mango Puree,6,Fruit,South Asia
Mango Vinegar,1,Vinegar,Southeast Asia
Manuka Honey,1,Sugar,Australia
Maple Smoked Onions,1,Allium Vegetable,South Asia
Maple Syrup,9,Syrup,North America
Margarine,3,Oil,
Marjoram,8,Herb,West Asia
Masa Flour,3,Thickening Agent,
Mayonnaise,1,"Oil, Vinegar",Southwest Europe
Medium Blue Agave,2,Sugar,Central America
Melon (Generic),1,Fruit,Pacific Region
Mesquite Smoke Powder,1,Spice,
Mexican Chocolate,1,"Fruit, Sugar",Central America
Mexican Tequila,1,Alcohol,Central America
Mezcal,1,Alcohol,Central America
Microcrystalline Cellulose,1,"Anti-caking Agents, Firming Agents",
Milk,1,Dairy Products,West Asia
Milk (Cultured Nonfat),1,Dairy Products,West Asia
Minced Garlic,18,Allium Vegetable,West Asia
Minced Onions,13,Allium Vegetable,South Asia
Mint,2,Herb,
Miso (Paste),1,"Salt, Vegetable",
Miso (Red),2,"Salt, Vegetable",
Miso (White),1,"Salt, Vegetable",
Modified Corn Starch,13,Thickening Agent,Central America
Modified Food Starch,19,Thickening Agent,
Modified Starch,1,Thickening Agent,
Molasses,98,Sugar,Southwest Europe
Molasses (Unsulphuered),1,Sugar,Southwest Europe
Mono Diglycerides,1,Firming Agents,
Monosodium Glutamate,12,Flavors & Flavor Enhancer,
Monosodium L-Glutamate,1,Flavors & Flavor Enhancer,
Mushroom (Black Trumpet - Organic),1,Mushroom,North America
Mushroom (Cremini),1,Mushroom,Southwest Europe
Mushroom (Lion's Mane),1,Mushroom,
Mushroom (Porcini - Dried),2,Mushroom,
Mushroom (Shiitake - Dried),2,Mushroom,East Asia
Mustard (Brown),1,"Sauce, Spice",South & East Mediterranean
Mustard (Dijon),3,"Sauce, Spice",South & East Mediterranean
Mustard (Generic),83,"Sauce, Spice",South & East Mediterranean
Mustard (Yellow Deli),1,"Sauce, Spice",South & East Mediterranean
Mustard Flavor,1,Flavors & Flavor Enhancer,South & East Mediterranean
Mustard Flour,6,Spice,South & East Mediterranean
Mustard Oil,2,Oil,South & East Mediterranean
Mustard Powder,19,Spice,South & East Mediterranean
Mustard Seed,38,Spice,South & East Mediterranean
N'Awlins Cajun,1,Spice,North America
Natural Apple Smoke Flavor,2,Flavors & Flavor Enhancer,
Natural Applewood Smoke Flavoring,3,Flavors & Flavor Enhancer,
Natural Butter Flavoring,9,Flavors & Flavor Enhancer,
Natural Cherry Smoke Flavor,1,Flavors & Flavor Enhancer,
Natural Color,2,Food Coloring,
Natural Coloring,1,Food Coloring,
Natural Dehydrated Pineapple Juice,1,Fruit,Tropical South America
Natural Flavor (Lemon),2,Flavors & Flavor Enhancer,
Natural Flavor (Less Than 2%),1,Flavors & Flavor Enhancer,
Natural Flavor (Organic),1,Flavors & Flavor Enhancer,
Natural Flavorings,9,Flavors & Flavor Enhancer,
Natural Flavors (Generic),116,Flavors & Flavor Enhancer,
Natural Garlic Flavor,3,Flavors & Flavor Enhancer,West Asia
Natural Gum,9,Thickening Agent,
Natural Herbs,3,Herb,
Natural Hickory Flavoring,6,Flavors & Flavor Enhancer,
Natural Hickory Seasoning,2,Spice,
Natural Hickory Smoke (Concentrate),4,Flavors & Flavor Enhancer,
Natural Hickory Smoke Flavor,20,Flavors & Flavor Enhancer,
Natural Lime Flavor,2,Flavors & Flavor Enhancer,
Natural Mesquite Flavor,1,Flavors & Flavor Enhancer,
Natural Mesquite Smoke Flavor,3,Flavors & Flavor Enhancer,
Natural Pineapple Flavor,1,Flavors & Flavor Enhancer,Tropical South America
Natural Smoke Flavor,19,Flavors & Flavor Enhancer,
Natural Spice Extractives,9,Spice,
Natural Sugar,7,Sugar,
Natural Thickener,3,Firming Agents,
Naturally Brewed Soy Sauce,1,Sauce,East Asia
Naturally Brewed Vinegar,1,Vinegar,West Asia
Naturally Gluten Free,3,,
Nopal/Prickly Pears,2,Fruit,Andes
Nopalito Cactus,1,"Fruit, Sugar, Vegetable",
Nugget Hops,1,Spice,East Asia
Nutmeg,7,Spice,Southeast Asia
Oak Aged Apple Cider Vinegar,1,Vinegar,West Asia
Oat Bran,1,Thickening Agent,Northeast Europe
Oil Of Capsaicin,1,Oil,
Okra,1,Vegetable,Southeast Asia
Old Tom Gin,1,Alcohol,Southwest Europe
Oleoresin Sauteed Garlic,1,Allium Vegetable,West Asia
Oleoresin Sauteed Onion,1,Allium Vegetable,South Asia
Olive Oil,28,Oil,Southeast Europe
Olives,3,Vegetable,Southeast Europe
Olives (Dried),1,Vegetable,Southeast Europe
Onion (Generic),599,Allium Vegetable,South Asia
Onion (Green),4,Allium Vegetable,South Asia
Onion (Powder),99,"Allium Vegetable, Spice",South Asia
Onion (Puree),1,Allium Vegetable,South Asia
Onion (Red),7,Allium Vegetable,South Asia
Onion (Toasted),7,Allium Vegetable,South Asia
Onion (Vidalia),7,Allium Vegetable,South Asia
Onion (Yellow),5,Allium Vegetable,South Asia
Onion Flakes,2,"Allium Vegetable, Spice",South Asia
Onions (Brown),4,Allium Vegetable,South Asia
Onions (Dehydrated),3,Allium Vegetable,South Asia
Onions (Smoked),7,Allium Vegetable,South Asia
Orange,7,Fruit,East Asia
Orange Base,0,Fruit,
Orange Blossom Honey,1,Fruit,Southwest Europe
Orange Extract,2,Fruit,East Asia
Orange Juice,22,Fruit,East Asia
Orange Juice (Sour),1,Fruit,East Asia
Orange Juice Concentrate,8,Fruit,East Asia
Orange Marmalade,2,Fruit,East Asia
Orange Peels,3,Fruit,East Asia
Orange Pulp,2,Fruit,East Asia
Orange Zest,5,Fruit,East Asia
Oregano,24,Herb,Southeast Europe
Organic Alcohol,8,Alcohol,East Asia
Organic Applesauce,1,Fruit,
Organic Cane Sugar,4,Sugar,Southeast Asia
Organic Carrots,6,Vegetable,
Organic Fruit,1,Fruit,
Organic Juice,1,Fruit,
Organic Mustard Seed,1,Spice,South & East Mediterranean
Organic Soybeans,5,Vegetable,East Asia
Organic Spices,2,Spice,
Organic Sugar,4,Sugar,
Organic Tamari,6,Sauce,
Organic Turmeric,1,Spice,South Asia
Organic Vinegar,3,Vinegar,West Asia
Organic White Distilled Vinegar,3,Vinegar,West Asia
Organic Yellow Mustard,1,"Sauce, Spice",South & East Mediterranean
Palm Oil,2,Oil,Central America
Palm Sugar,7,Sugar,Central America
Palmitate,1,Antioxidant,
Papaya,29,Fruit,Central America
Papaya (Red),1,Fruit,Central America
Papaya (Yellow),1,Fruit,Central America
Papaya Juice,2,Fruit,Central America
Papaya Puree,1,Fruit,Central America
Paprika,46,Spice,Central America
Paprika (Color),2,Food Coloring,Central America
Parmesan Cheese,9,Dairy Products,Southwest Europe
Parsley,9,Herb,Southeast Europe
Parsley (Curly),1,Herb,Southeast Europe
Parsley (Dried),2,Herb,Southeast Europe
Partially Hydrogenated Soybean Oil,4,Oil,East Asia
Passion Fruit (Citric Extracts),1,Fruit,Tropical South America
Passion Fruit Juice,7,Fruit,Tropical South America
Passionfruit,9,Fruit,Tropical South America
Pasteurized Crab Meat,1,Meat,
Pea,1,Vegetable,South & East Mediterranean
Peach,25,Fruit,East Asia
Peach (Preserves),1,Fruit,East Asia
Peach Jelly,1,Fruit,East Asia
Peach Juice,1,Fruit,East Asia
Peach Nectar,1,Fruit,East Asia
Peach Puree,1,Fruit,East Asia
Peaches (Sun Ripened),1,Fruit,East Asia
Peanut Butter,1,,Tropical South America
Peanut Oil,5,Oil,Tropical South America
Peanuts,6,Nut,Tropical South America
Pear Garlic,1,Allium Vegetable,West Asia
Pear Juice,1,Fruit,Southeast Asia
Pears,7,Fruit,Southeast Asia
Pears (Sun Ripened),1,Fruit,Southeast Asia
Pecan Oil,2,Oil,
Pectin,3,Thickening Agent,
Pepper Sauce,4,"Sauce, Spice",
Peppercorn (Toasted),2,,South Asia
Peppermint,2,Spice,Northeast Europe
Pickled Bell Pepper,1,Vegetable,
Pickled Red Cabbage,1,Vegetable,East Asia
Pineapple,66,Fruit,Tropical South America
Pineapple (Smoked),1,Fruit,Tropical South America
Pineapple Juice,23,Fruit,Tropical South America
Pineapple Juice (Concentrate),4,Fruit,Tropical South America
Pineapple Juice Powder,5,Fruit,Tropical South America
Pineapple Mash,2,Fruit,Tropical South America
Pineapple Puree,1,Fruit,Tropical South America
Pinto Beans,3,Vegetable,Central America
Plum,2,Fruit,Southeast Asia
Plum (Black),1,Fruit,Southeast Asia
Polysorbate 80,4,"Firming Agents, Thickening Agent",
Pomegranate,1,Fruit,West Asia
Pomegranate Concentrate,1,Fruit,West Asia
Pomegranate Juice,5,Fruit,West Asia
Popcorn,5,Vegetable,Central America
Poppy Seeds,1,Seed,
Port Wine,1,Alcohol,
Potassium Benzoate,2,Preservatives,
Potassium Carbonate,3,Salt,
Potassium Sorbate,33,Preservatives,
Potassium Sorbate (0.1 Percent),1,Preservatives,
Potato (Starch),4,Thickening Agent,Andes
Potato Maltodextrin,1,"Firming Agents, Sweeteners, Thickening Agent",Andes
Potatoes,2,Vegetable,Andes
Premium Prepared Mustard,2,"Sauce, Spice",South & East Mediterranean
Prepared Horseradish,1,"Spice, Vegetable",
Prepared Mustard,3,"Sauce, Spice",South & East Mediterranean
Preservative-Potassium Sorbate,1,Preservatives,
Pretzel Nubs,1,,
Prickly Ash Powder,1,Spice,East Asia
Prickly Pear Cactus Juice,2,Fruit,Central America
Propylene Glycol Alginate,2,"Firming Agents, Thickening Agent",
Pumpkin,3,Vegetable,North America
Pumpkin Pie Spice,2,"Spice, Vegetable",North America
Pumpkin Puree,1,Vegetable,North America
Pure Cane Sugar,12,Sugar,Southeast Asia
Pure Cane Sugar Syrup,1,Sugar,Southeast Asia
Pure Vermont Maple Syrup,3,Syrup,
Raisin,22,Fruit,
Raisin Paste,1,Fruit,
Ranch Dressing,1,Sauce,North America
Rapeseed Oil,1,Oil,South Asia
Raspberries,5,Fruit,North America
Raspberries (Red),2,Fruit,North America
Raspberry Puree,1,Fruit,North America
Raw Yellow Onions,0,Allium Vegetable,South Asia
Real Fruit Juices,1,Fruit,
Red Beans (Precooked),1,Vegetable,Central America
Red Pepper Sauce,2,"Sauce, Spice",
Red Ripe Tomatoes,7,Vegetable,Andes
Red Thai Curry Powder,1,Spice,Southeast Asia
Red Wine,0,Alcohol,
Red Wine Vinegar,52,Vinegar,West Asia
Rhubarb,1,Vegetable,
Riboflavin,2,Food Coloring,
Rice,6,,Southeast Asia
Rice Bran Oil (Organic),5,Oil,Southeast Asia
Rice Crackers,1,,Southeast Asia
Rice Koji,1,Fungus,Southeast Asia
Rice Vinegar,10,Vinegar,Southeast Asia
Rice Wine,1,Alcohol,Southeast Asia
Rice Wine Vinegar,12,Vinegar,Southeast Asia
Roasted Corn,1,Vegetable,Central America
Roasted Garlic,35,Allium Vegetable,West Asia
Roasted Garlic Pulp,2,Allium Vegetable,West Asia
Roasted Onion,1,Allium Vegetable,South Asia
Roasted Pepitas,1,Nut,
Roasted Tomatillo,1,Vegetable,Central America
Rochester Sauce,2,Sauce,
Rockmelon,1,Fruit,Pacific Region
Romano Cheese,2,Dairy Products,Northwest Europe
Rosemary,8,Herb,
Rum,5,Alcohol,Carribean
Safflower,1,Herb,
Saffron,1,Spice,
Sage,2,Spice,
Sake (Salted),1,Alcohol,East Asia
Salsa,4,Vegetable,Central America
Salsa (Fire Roasted),4,Vegetable,Central America
Salt,1119,Salt,
Salt (Hawaiian Red),2,Salt,North America
Salt (Maltodextrin),1,Salt,
Salt (Smoked Hickory),1,Salt,
Salt (Smoked Mesquite),1,Salt,
Salt Turmeric,2,"Salt, Spice",South Asia
Salted Whiskey,2,Alcohol,Northwest Europe
Sauce Blend,1,Sauce,
Sautéed Garlic Flavor,2,Flavors & Flavor Enhancer,West Asia
Sautéed Garlic Hot Sauce,1,"Allium Vegetable, Sauce",
Scallion,11,Allium Vegetable,
Scotch Scallions,1,Allium Vegetable,
Sea Salt,144,Salt,
Sea Salt (Mediterranean),1,Salt,Southeast Europe
Sea Salt (Smoked Apple Wood),1,Salt,
Sea Salt (Smoked),2,Salt,
Seasoned Salt,3,"Salt, Spice",
Seasoning,4,Spice,
Seasoning Salt,3,"Salt, Spice",
Seaweed,2,Thickening Agent,
Secret Herbs,1,Herb,
Seeds,1,Seed,
Sesame Oil,8,Oil,South Asia
Sesame Seed (Black),1,Seed,South Asia
Sesame Seed (Organic,1,Seed,South Asia
Sesame Sticks,1,Spice,
Shallot,9,Allium Vegetable,
Shallot (Smoked),1,Allium Vegetable,
Shrimp Paste,1,Meat,
Siberian Ginseng,1,Vegetable,Northeast Europe
Silica,8,Anti-caking Agents,
Silicon Dioxide,15,Anti-caking Agents,
Silicon Dioxide (Anti-Caking),1,Anti-caking Agents,
Smoke Essence,1,Flavors & Flavor Enhancer,
Smoke Flavoring,3,Flavors & Flavor Enhancer,
Smoked Alderwood Salt,1,Salt,North America
Smoked Paprika,14,Spice,Central America
Smoked Salt,1,Salt,
Smoked Spanish Paprika,1,Spice,Central America
Smoked Vermont Maple Syrup,1,Syrup,
Sodium Acid Sulfate,1,Acid Regulator,
Sodium Alginate,1,"Firming Agents, Thickening Agent",
Sodium Benzoate,79,Preservatives,
Sodium Benzoate (0.1 Percent),7,Pickling Agent,
Sodium Bisulfite,3,Preservatives,
Sodium Carbonate,2,"Acid Regulator, Anti-caking Agents, Thickening Agent",
Sodium Caseinate (Milk),1,Dairy Products,
Sodium Diacetate,1,"Flavors & Flavor Enhancer, Salt",
Sodium Metabisulfite,11,Preservatives,
Sodium Phosphate Dibasic,2,"Acid Regulator, Anti-caking Agents",
Sodium Polyphosphate,2,Humectant,
Sodium Solfate,1,Food Coloring,
Soil,9,Oil,
Soluble Crab Spice,2,Spice,
Sorbic Acid,1,Preservatives,
Sour Cherries,1,Fruit,Central Asia
Sour Cream (Powder),1,Dairy Products,
Southwestern Herbs,1,Herb,
Soy,9,Vegetable,
Soy Beans,31,Vegetable,East Asia
Soy Beans (Organic),3,Vegetable,East Asia
Soy Extract,3,Vegetable,
Soy Flour,2,Vegetable,
Soy Lecithin,8,"Anti-caking Agents, Thickening Agent",
Soy Miso,1,"Salt, Vegetable",
Soy Oil,5,Oil,
Soy Sauce,44,Sauce,East Asia
Soy Sauce (Gluten Free),1,Sauce,East Asia
Soy Sauce (Naturally Brewed),2,Sauce,East Asia
Soy Sauce (Organic),1,Sauce,East Asia
Soyabean Oil 18%,1,Oil,East Asia
Soybean Oil,18,Oil,East Asia
Soybean Oil (Liquid),4,Oil,East Asia
Soybeans (Fermented),1,Vegetable,East Asia
Sparkling White Wine Vinegar,1,Vinegar,West Asia
Special Blend Of Herbs,1,Herb,
Spice Extractive,1,Spice,
Spiced Rum,5,Alcohol,Carribean
Spices (2% Or Less),1,Spice,
Spices (Generic),588,Spice,
Spinach,2,Vegetable,
Spinach (Baby),1,Vegetable,
Spinach Powder,1,"Spice, Vegetable",
Spring Onion,1,Allium Vegetable,South Asia
Sriarcha Chile Sauce,1,"Sauce, Spice",Southeast Asia
Sriracha Sauce Seasoning,2,Spice,Southeast Asia
Stabilizer,1,Firming Agents,
Star Fruit Juice,1,Fruit,Southeast Asia
Starch,16,Thickening Agent,
Stevia,1,Sweeteners,
Strawberries,8,Fruit,North America
Strawberry Preserves,1,Fruit,North America
Succinic Acid,1,Acid Regulator,
Sucralose,4,Sweeteners,
Sugar (Demerara),1,Sugar,
Sugar (Generic),390,Sugar,
Sugar (White),3,Sugar,
Sugar Cane,1,Sugar,Southeast Asia
Sugar Cane Vinegar,2,Sugar,Southeast Asia
Sulfite,3,"Flavors & Flavor Enhancer, Preservatives",
Sulfur Dioxide,1,Preservatives,
Sumac,2,Spice,
Sunflower Oil,14,Oil,North America
Sunflower Seeds,1,Seed,North America
Sweet Carrots,1,Vegetable,
Sweet Cherries,1,Fruit,Central Asia
Sweet Corn,1,Vegetable,Central America
Sweet Onion,4,Allium Vegetable,South Asia
Sweet Onion (Roasted),1,Allium Vegetable,South Asia
Sweet Potato,8,Vegetable,Central America
Sweet Potato (Roasted),1,Vegetable,Central America
Sweet Soy Sauce,6,Sauce,East Asia
Tabasco Brand Pepper Pulp,2,Spice,
Tabasco Brand Pepper Sauce,5,"Sauce, Spice",
Tamari,3,Sauce,
Tamarind,35,Fruit,South & East Mediterranean
Tamarind (Paste),1,Fruit,South & East Mediterranean
Tamarind Concentrate,2,Fruit,South & East Mediterranean
Tamarind Extract,1,Fruit,South & East Mediterranean
Tamarind Liquid,1,Fruit,South & East Mediterranean
Tamarind Puree,1,Fruit,South & East Mediterranean
Tangerine Juice (Concentrate),5,Fruit,
Tapioca Starch,4,Thickening Agent,
Tarragon,1,Herb,
Tart Cherries,1,Fruit,Central Asia
Tart Cherry Juice,1,Fruit,
Tartaric Acid,1,Acidulant,
Tasman Sea Salt,1,Salt,Australia
Tbhq,1,Preservatives,
Tender Cactus,1,"Fruit, Sugar, Vegetable",
Tennessee Moonshine,1,Alcohol,
Tequila,17,Alcohol,Central America
Tequila (Gold),1,Alcohol,Central America
Tequila Flavor,1,Flavors & Flavor Enhancer,Central America
Teriyaki,1,"Sauce, Sugar",East Asia
Teriyaki Sauce,1,Sauce,East Asia
Texas Pete Hot Sauce,1,"Sauce, Spice",North America
Textured Vegetable Protein,1,Food Powder,
Thyme,25,Herb,South & East Mediterranean
Thyme Powder,1,"Herb, Spice",South & East Mediterranean
Tic Gum,3,Thickening Agent,
Toasted Sesame Seeds,3,Spice,South Asia
Tomatillo,10,Vegetable,Central America
Tomatillos,12,Vegetable,Central America
Tomatillos (Dried),1,Vegetable,Central America
Tomatillos (Fire Roasted),3,Vegetable,Central America
Tomato,152,Vegetable,Andes
Tomato (Crushed),6,Vegetable,Andes
Tomato (Fire Roasted),5,Vegetable,Andes
Tomato (Green),3,Vegetable,Andes
Tomato (Juice),10,Vegetable,Andes
Tomato (Paste),159,Vegetable,Andes
Tomato (Roasted),3,Vegetable,Andes
Tomato (Sun-Dried),12,Vegetable,Andes
Tomato Base,1,Vegetable,Andes
Tomato Concentrate,21,Vegetable,Andes
Tomato Juice Concentrate,1,Vegetable,Andes
Tomato Puree,24,Vegetable,Andes
Tomato Puree From Concentrate,1,Vegetable,Andes
Tomato Sauce,23,Vegetable,Andes
Tomatoes (Roma),1,Fruit,Andes
Torula Yeast,1,Food Culture,
Traditional Jerk Spices,2,Spice,Carribean
Tricalcium Phosphate,1,Anti-caking Agents,
Turbinado Sugar,27,Sugar,
Turmeric,70,Spice,South Asia
Turmeric Color,1,Food Coloring,South Asia
Unsulphured Molasses,5,"Sugar, Syrup",
Vanilla,4,Spice,Central America
Vanilla Beans,1,Spice,Central America
Vanilla Extract,4,Spice,Central America
Vegan Fruit Blend Black Cherries,1,Fruit,Central Asia
Vegetable Blend,2,Vegetable,
Vegetable Gum,14,"Firming Agents, Thickening Agent",
Vegetable Juice,4,Vegetable,
Vegetable Juice (Concentrated),4,Vegetable,
Vegetable Mix,1,Vegetable,
Vegetable Mono And Diglycerides,4,Firming Agents,
Vegetable Oil,26,Oil,
Vegetable Oil (Partially Hydrogenated),1,Oil,
Vegetable Powder,3,Vegetable,
Vegetables,2,Vegetable,
Vermouth,1,Alcohol,Southwest Europe
Victorian Pink Lake Salt,1,Salt,Australia
Vinegar (Cane),1,Vinegar,West Asia
Vinegar (Generic),653,Vinegar,West Asia
Vinegar (Organic),3,Vinegar,West Asia
Vinegar Powder,6,Vinegar,West Asia
Virginia Gentleman 80 Straight Bourbon Whiskey,2,Alcohol,North America
Vitamin A,2,Antioxidant,
Vitamin A Palmitate,3,Antioxidant,
Vitamin C,10,Preservatives,
Vitamin E,2,Preservatives,
Vodka,1,Alcohol,Northeast Europe
Von Trapp Vienna Lager,2,Alcohol,North America
Wasabi,1,Spice,East Asia
Wasabi Horseradish,2,Spice,East Asia
Wasabi Rhizome,1,Spice,East Asia
Water,528,Solvent,
Watercressents,1,Vegetable,
Watermelon Juice,1,Fruit,Pacific Region
West Indian Herbs,2,Herb,Carribean
Wheat,29,Thickening Agent,
Wheat Flour,6,Thickening Agent,
Wheat-Free Tamari Sauce,1,Sauce,
Whey (Milk),1,Dairy Products,
Whey Solids,2,Dairy Products,
Whiskey,1,Alcohol,Northwest Europe
White Grape Juice,1,Fruit,North America
White Onion,10,Allium Vegetable,South Asia
White Sugar,14,Sugar,
White Vinegar,78,Vinegar,West Asia
White Vinegar (Organic),2,Vinegar,West Asia
White Vinegar - Coffee Infused,1,Vinegar,West Asia
White Wine,1,Alcohol,
White Wine Vinegar,18,Vinegar,West Asia
White Wine Vinegar (Organic),1,Vinegar,West Asia
Wholegrain Australian Corn,1,Vegetable,Australia
Wild Fijian Turmeric,1,Spice,Southeast Asia
Wine,1,Alcohol,
Wine Vinegar,1,Vinegar,West Asia
Worcestershire Sauce,75,Sauce,Southwest Europe
Xanthan Gum,377,Firming Agents,
Xanthan Gum (Less Than 2%),1,Firming Agents,
Xanthan Gum (Natural),3,Firming Agents,
Xpa Beer,1,Alcohol,
Yeast,2,Food Culture,
Yeast Extract,11,Food Culture,
Yellow #5 Food Coloring,1,Food Coloring,
Yellow Mustard,18,Food Culture,South & East Mediterranean
Yuzu Juice,3,Fruit,East Asia
Yuzu Peel,1,Fruit,East Asia
Zinc,1,,
